questao,resposta
como_foi_derivada,"D1 daily file (regime_classifier_v3/xau_daily_with_features.jsonl), shift D-1. macro_phase = BULL_RUN se dist_from_126d_high<=0.04 & close>=SMA200; PULLBACK se pullback raso bull; BEAR_MARKDOWN se close<SMA200 & dist>0.10; else RANGE_TRANSITION."
thresholds_usados,"dist<=0.04 (4% da max 126d), SMA200, janela 126d, cutoff BULL_RUN. 4 constantes."
thresholds_com_outcome_visivel,"SIM — escolhidos contra os mesmos 276 cujos exit/realR sao visiveis. In-sample selection (problema central)."
look_ahead,"PASS-by-construction (date estritamente < entry, SMA/highs de bars anteriores) MAS nao re-verificado no script gerador do daily file. PASS condicional."
D-1_aplicado,"SIM (bisect_left-1)."
dist_126d_high_causal,"SIM (highs passados)."
SMA200_causal,"SIM (closes passados)."
swing_causal,"SIM em principio, mas o candidato A nao usa swing explicito — so dist+SMA200 efetivamente."
faz_sentido_auction_theory,"PARCIAL — 'perto da maxima em uptrend' e markup, mas SEM supply/fuel/acceptance a feature nao distingue markup sadio de late-distribution colada em supply. Auction exige a confluencia, nao a proximidade."
captura_macro_phase_real_ou_bull_beta,"BULL-BETA/DATE-PROXY. 89% da edge em 2023-26; WR 43.5% no bull 2020 real => codifica recencia do melt-up, nao regime estrutural."
por_que_falha_2020,"No topo macro 2020-08 (ATH 2075) a feature ainda marca BULL_RUN (lagging); entra no topo e stopa. dist<=0.04 e satisfeito NO topo."
por_que_streak_15_17,"O drought 2020-07->2022-01 e cheio de SUPPLY_NEAR_AND_REJECTING/SUPPLY_BLOCKS_TARGET (fuel baixo), MACRO_RANGE/TRANSITION no leitor rico (override), FALLING_KNIFE (2021-11-22) — nada disso a macro_phase consulta."
fase_atrasada_topo_rollover,"SIM — feature lagging; marca BULL_RUN no topo/rollover porque 'dist da max' so cai DEPOIS do topo formado."
precisa_geometria_topo_rollover,"SIM — sequencia de LH/rollover para sair de BULL_RUN antes do stop."
precisa_SVP_acceptance,"SIM — acceptance acima/abaixo do VA separa markup de distribuicao."
precisa_confluencia_supply_demand,"SIM — supply overhead (fuel) e o veto que faltou em ~metade do drought."
veredito_feature,"Manter SO como termo fraco de evidencia condicional (inputs dist_from_126d_high + close_vs_SMA200, SEM threshold) DENTRO do engine de 9 especialistas, onde momentum/auction/fuel podem contradize-la no topo. NUNCA como gate/policy isolada."
