filename_captime,episode_trade_id,timestamp_aprox,imagem_legivel,observacoes
img01 / 02.25.22,"#1,#2",2020-01..03 (COVID),SIM,overview início 2020; demanda #1/#2; crash COVID à direita; NAS TOP/BOTTOM+RSI bear div
img02 / 02.30.56,"#16,#17",2025-10..2026-01,SIM,bull forte tardio; pullbacks a demanda; BOS; BOTTOM reclaim
img03 / 02.31.21,#15,2024-10..12,SIM,demand reclaim mid-bull; CHoCH/BOS; BOTTOM
img04 / 02.31.40,"#13,#14",2024-07..09,SIM,"#13 fundo, #14 breakout (caixa verde); continuação"
img05 / 02.32.05,#12,2024-04..07,SIM,range + demand reclaim; BOTTOM x2
img06 / 02.32.17,#11,2023-12..2024-05,SIM,base -> breakout forte fev-mar/2024; CHoCH; BOTTOM
img07 / 02.33.27,"#9,#10",2023-08..10,SIM,#9 fundo ok; #10 tardio antes de queda set-out; BOTTOM no fundo da queda
img08 / 02.33.41,#8,2023-05..08,SIM,demand reclaim fundo; BOS; range; TOP/SHORT à direita
img09 / 02.33.54,"#6,#7",2023-02..05,SIM,cluster fundo (vários BOTTOM) -> bull leg; banking crisis
img10 / 02.34.18,"#4,#5",2022-01..04,SIM,"#4 fundo, #5 continuação spike Ucrânia; TOP/SHORT no pico"
img11 / 02.34.32,#3,2021-07..08,SIM,capitulation reclaim pós flash-crash ago/2021; depois chop
img12 / 02.34.57,"#1,#2",2020-01..05,SIM,"#1 fundo, #2 continuação; crash COVID + BOTTOM reclaim"
img13 / 02.36.41,(overview 2020),2020 inteiro,SIM,ANOTAÇÃO: 'FALTOU UMA ENTRADA NESSA PERNA DE ALTA' (jun-jul/2020) = engine sub-aciona continuação bull
