episode_id,idx,valid_long,issue_type,suggested_SL_visual,swing_origin_dist_atr,M5_risk_atr,M5_tag,M5_R,M5_how,converts_to_winner,risk_too_big_gt4ATR,subset,note
E1,351,yes,setup_ok,SL_STRUCTURE_LOW,0.08,5.3,>4ATR,0.64,time,yes,yes,winner9,MUITO BOM. SL estrutural corre
E2,521,unclear,SL_issue,SL_STRUCTURE_LOW,1.2,2.96,ideal,1.37,time,yes,no,badSL12,cluster: viram winners com SL 
E3,685,yes,SL_issue,SL_STRUCTURE_LOW,1.08,6.6,>4ATR,0.23,time,yes,yes,badSL12,SUP D+; SL estrutural é aqui
E4,780,yes,SL_issue,SL_STRUCTURE_LOW,1.34,1.44,tight,1.64,time,yes,no,badSL12,SUP UNK; SL estrutural aqui
E5,901,yes,setup_ok,SL_STRUCTURE_LOW,1.62,1.72,tight,0.9,be,yes,no,winner9,WINNER OK
E6,1200,no,macro_bear,n/a,0.01,3.32,ideal,-0.16,time,no,no,should_not,Regime bear: não funciona
E7,1221,no,macro_bear,n/a,0.07,2.88,ideal,-1.1,stop,no,no,should_not,Regime bear: não funciona
E8,1316,unclear,macro_bear,n/a,0.14,2.93,ideal,-1.1,stop,no,no,should_not,Regime bear: não funciona
E9,1326,no,macro_bear,n/a,0.79,6.83,>4ATR,-1.1,stop,no,yes,should_not,Regime bear: não funciona
E10,1497,unclear,macro_bear,n/a,0.28,3.89,ideal,1.2,time,yes,no,should_not,Regime bear: não funciona
E11,1775,no,understood_loser,n/a,0.18,0.3,tight,0.9,be,yes,no,should_not,Loser COMPREENSÍVEL pela lógic
E12,1901,unclear,detector_recall_gap,n/a,0.03,0.55,tight,-1.1,stop,no,no,other,Mesma config de E11 — por que 
E13,78,yes,setup_ok,SL_STRUCTURE_LOW,1.27,2.87,ideal,-1.1,stop,no,no,winner9,Entrada e SL corretos; vira BI
E14,217,unclear,macro_review,n/a,6.66,8.01,>4ATR,0.75,time,yes,yes,other,SKY D- (contexto bear region)
E15,287,no,macro_bear,n/a,1.96,5.09,>4ATR,-1.1,stop,no,yes,should_not,"NÃO pode existir: topo duplo, "
E16,383,unclear,macro_review,n/a,2.64,11.38,>4ATR,0.61,time,yes,yes,other,SKY D- (cluster)
E17,391,yes,setup_ok,SL_STRUCTURE_LOW,0.74,8.36,>4ATR,0.91,time,yes,yes,winner9,BIG WINNER
E18,583,unclear,macro_review,n/a,1.74,3.31,ideal,0.09,time,yes,no,other,cluster
E19,766,yes,SL_issue,SL_STRUCTURE_LOW,2.1,3.04,ideal,1.54,time,yes,no,badSL12,"WINNER, SL a corrigir; SL estr"
E20,833,yes,SL_issue,SL_STRUCTURE_LOW,2.08,2.86,ideal,3.9,runner,yes,no,badSL12,"SKY D+ (cluster winners, SL a "
E21,845,yes,setup_ok,SL_STRUCTURE_LOW,2.69,2.9,ideal,3.9,runner,yes,no,winner9,WINNER OK
E22,866,yes,SL_issue,SL_STRUCTURE_LOW,6.78,6.94,>4ATR,2.09,time,yes,yes,badSL12,WINNER OK (SL a corrigir)
E23,919,yes,setup_ok,SL_STRUCTURE_LOW,4.73,4.83,>4ATR,-1.1,stop,no,yes,winner9,WINNER OK
E24,934,no,macro_bear,n/a,5.22,5.32,>4ATR,-1.1,stop,no,yes,should_not,"Entrada de topo, exaustão clar"
E25,130,no,entry_premature,n/a,1.37,1.47,tight,0.79,be,yes,no,other,Entrada precipitada; eliminar 
E26,149,no,entry_premature,n/a,0.41,0.51,tight,-1.1,stop,no,no,other,Entrada precipitada; eliminar 
E27,159,yes,setup_ok,SL_STRUCTURE_LOW,0.51,3.07,ideal,2.34,time,yes,no,winner9,ENTRADA REAL CORRETA do cluste
E28,542,yes,SL_issue,SL_STRUCTURE_LOW,0.5,3.29,ideal,0.22,time,yes,no,badSL12,cluster: viram winners com SL 
E29,631,yes,SL_issue,SL_STRUCTURE_LOW,0.09,2.68,ideal,-1.1,stop,no,no,badSL12,cluster: viram winners com SL 
E30,55,yes,setup_ok,SL_STRUCTURE_LOW,0.75,0.85,tight,3.9,runner,yes,no,winner9,BIG WINNER
E31,458,unclear,SL_issue,SL_STRUCTURE_LOW,2.65,2.85,ideal,0.32,time,yes,no,badSL12,D- cluster: SL estrutural aqui
E32,493,unclear,SL_issue,SL_STRUCTURE_LOW,0.13,0.3,tight,0.9,be,yes,no,badSL12,D- cluster: SL estrutural aqui
E33,970,unclear,macro_review,n/a,0.75,6.81,>4ATR,-0.13,time,no,yes,other,D- D- (cluster perto de E24 to
E34,237,no,macro_bear,n/a,3.75,4.34,>4ATR,0.13,time,yes,yes,should_not,NÃO: exaustão; entrar em queda
E35,140,no,entry_premature,n/a,0.7,0.8,tight,-1.1,stop,no,no,other,Entrada precipitada; eliminar 
E36,1211,no,macro_bear,n/a,0.66,4.48,>4ATR,-0.59,time,no,yes,should_not,Regime bear (cluster out/2020-
E37,1761,no,macro_bear,n/a,0.06,3.37,ideal,-1.1,stop,no,no,should_not,Regime bear: não funciona
E38,2100,yes,SL_issue,SL_STRUCTURE_LOW,0.52,4.79,>4ATR,1.78,time,yes,yes,badSL12,LOSER por SL curto demais; vir
E39,2204,no,macro_bear,n/a,0.18,2.77,ideal,-1.1,stop,no,no,should_not,Compra sem sentido após perna 
E40,2053,yes,setup_ok,SL_RETEST_LOW,0.19,1.83,tight,3.32,time,yes,no,winner9,"BIG WINNER, entrada perfeita, "
E41,4574,yes,SL_and_entry,SL_STRUCTURE_LOW,0.04,1.8,tight,-1.1,stop,no,no,badSL12,Ponto de entrada correto é mai
