plot_id,set,d1_leg,fam,cris,old_policy,corrected_policy,exit,realR,bigwin,why
S1,A,MACRO_RANGE,BULL,UNLABELED,REVIEW,TAKE_CANDIDATE,WIN_HELD,1.46,Y,"camada2: bull macro + demanda defendida (supply-perto=markup, não rejeição)"
S3,A,MACRO_CORRECTIVE_PULLBACK,BULL,UNLABELED,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_HELD,2.43,Y,"camada2: bull macro + demanda defendida (supply-perto=markup, não rejeição)"
S4,A,MACRO_BULL_LEG,BULL,UNLABELED,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_HELD,1.43,Y,camada2: bull macro (continuação) — supply overhead não veta em bull
S5,A,MACRO_BULL_LEG,BULL,UNLABELED,REVIEW,TAKE_CANDIDATE,WIN_HELD,2.09,Y,camada2: bull macro (continuação) — supply overhead não veta em bull
S6,A,MACRO_BULL_LEG,BULL,UNLABELED,REVIEW,TAKE_CANDIDATE,WIN_BE,0.9,,"camada2: bull macro + demanda defendida (supply-perto=markup, não rejeição)"
S7,A,MACRO_RANGE,RISK,UNLABELED,REVIEW,SKIP_STRUCTURAL,WIN_BE,0.9,,camada1: bear-markdown genuíno (BEAR_LEG ou broken&combined<0) — gate macro
S8,A,MACRO_RANGE,RISK,UNLABELED,REVIEW,SKIP_STRUCTURAL,WIN_BE,0.9,,camada1: bear-markdown genuíno (BEAR_LEG ou broken&combined<0) — gate macro
S9,C,MACRO_BULL_LEG,RISK,UNLABELED,SKIP_STRUCTURAL,REVIEW,WIN_HELD,1.78,Y,contexto não-bull e não-bear-genuíno = review
S10,C,MACRO_BULL_LEG,BULL,UNLABELED,REVIEW,TAKE_CANDIDATE,WIN_HELD,1.86,Y,"camada2: bull macro + demanda defendida (supply-perto=markup, não rejeição)"
S12,A,MACRO_TRANSITION,BULL,UNLABELED,REVIEW,TAKE_CANDIDATE,WIN_HELD,1.84,Y,camada2: bull macro (continuação) — supply overhead não veta em bull
S13,A,MACRO_BEAR_LEG,RISK,UNLABELED,SKIP_STRUCTURAL,SKIP_STRUCTURAL,WIN_HELD,3.54,Y,camada1: bear-markdown genuíno (BEAR_LEG ou broken&combined<0) — gate macro
S14,C,MACRO_RANGE,RISK,UNLABELED,SKIP_STRUCTURAL,SKIP_STRUCTURAL,WIN_HELD,2.75,Y,camada1: bear-markdown genuíno (BEAR_LEG ou broken&combined<0) — gate macro
S15,A,MACRO_RANGE,RISK,UNLABELED,SKIP_STRUCTURAL,SKIP_STRUCTURAL,WIN_HELD,2.76,Y,camada1: bear-markdown genuíno (BEAR_LEG ou broken&combined<0) — gate macro
S16,A,MACRO_TRANSITION,BULL,UNLABELED,REVIEW,TAKE_CANDIDATE,WIN_HELD,1.82,Y,camada2: bull macro (continuação) — supply overhead não veta em bull
S17,A,MACRO_BULL_LEG,BULL,UNLABELED,REVIEW,TAKE_CANDIDATE,WIN_HELD,2.17,Y,"camada2: bull macro + demanda defendida (supply-perto=markup, não rejeição)"
S18,C,MACRO_BULL_LEG,BULL,UNLABELED,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_HELD,2.05,Y,"camada2: bull macro + demanda defendida (supply-perto=markup, não rejeição)"
S19,C,MACRO_RANGE,RISK,BLOCK_acceptable_skip,SKIP_STRUCTURAL,SKIP_STRUCTURAL,WIN_HELD,1.96,Y,camada1: bear-markdown genuíno (BEAR_LEG ou broken&combined<0) — gate macro
S20,A,MACRO_TRANSITION,BULL,PROTECT,REVIEW,TAKE_CANDIDATE,WIN_RUNNER,3.9,Y,"camada2: bull macro + demanda defendida (supply-perto=markup, não rejeição)"
