image_file,episode_id,user_annotation,previous_label,corrected_visual_label,valid_long_yes_no_unclear,issue_type,suggested_SL_model,acceptance_quality,supply_status,demand_status,macro_leg_context,SL_issue_or_setup_issue,notes
p03,E1,MUITO BOM. SL estrutural correto gera BIG WINNER,DEMAND_SUPPORTED_RECLAIM,TRUE_L2_STRUCTURAL_SETUP,yes,setup_ok,SL_STRUCTURE_LOW,ACEITOU,SUPPLY_FRESH_DANGEROUS,DEMAND_SUPPORTING_RETEST,SIM,setup_ok,reclaim verde body60%; supply_dist 0.68ATR; NASsh 7
p05,E2,cluster: viram winners com SL estrutural,SUPPLY_REJECTION,VALID_SETUP_BAD_SL,unclear,SL_issue,SL_STRUCTURE_LOW,NÃO_aceitou,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,não,SL,reclaim verde body83%; supply_dist 0.41ATR; NASsh 8
p04/p05,E3,SUP D+; SL estrutural é aqui,TOP_SWEEP_REJECTION,VALID_SETUP_BAD_SL,yes,SL_issue,SL_STRUCTURE_LOW,NÃO_aceitou,SUPPLY_FRESH_DANGEROUS,DEMAND_SUPPORTING_RETEST,não,SL,reclaim verde body75%; supply_dist 0.73ATR; NASsh 7
p06,E4,SUP UNK; SL estrutural aqui,POLARITY_DEFENDED,VALID_SETUP_BAD_SL,yes,SL_issue,SL_STRUCTURE_LOW,ACEITOU,SUPPLY_NEAR_AND_REJECTING,DEMAND_PRESENT_NEUTRAL,não,SL,reclaim verde body47%; supply_dist 0.66ATR; NASsh 11
p06,E5,WINNER OK,DEMAND_SUPPORTED_RECLAIM,POLARITY_DEFENDED,yes,setup_ok,SL_STRUCTURE_LOW,ACEITOU,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,não,setup_ok,reclaim verde body82%; supply_dist 0.36ATR; NASsh 9
p07,E6,Regime bear: não funciona,DEMAND_SUPPORTED_RECLAIM,MACRO_BEAR_NO_LONG,no,macro_bear,n/a,ACEITOU,SUPPLY_FRESH_DANGEROUS,DEMAND_SUPPORTING_RETEST,SIM,SETUP/MACRO,reclaim verde body99%; supply_dist 0.47ATR; NASsh 5
p07,E7,Regime bear: não funciona,BEAR_LEG_RECLAIM_TRAP,MACRO_BEAR_NO_LONG,no,macro_bear,n/a,NÃO_aceitou,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,SIM,SETUP/MACRO,reclaim verde body77%; supply_dist 0.84ATR; NASsh 6
p07,E8,Regime bear: não funciona,ACCEPTED_SUPPLY_BREAK,MACRO_BEAR_NO_LONG,unclear,macro_bear,n/a,ACEITOU,SUPPLY_NEAR_BUT_BROKEN,DEMAND_SUPPORTING_RETEST,não,SETUP/MACRO,reclaim verde body77%; supply_dist 0.15ATR; NASsh 5
p07,E9,Regime bear: não funciona,BEAR_LEG_RECLAIM_TRAP,MACRO_BEAR_NO_LONG,no,macro_bear,n/a,NÃO_aceitou,SUPPLY_FRESH_DANGEROUS,DEMAND_ABSENT_OR_IRRELEVANT,SIM,SETUP/MACRO,reclaim verde body31%; supply_dist 0.39ATR; NASsh 2
p07,E10,Regime bear: não funciona,DEMAND_SUPPORTED_RECLAIM,MACRO_BEAR_NO_LONG,unclear,macro_bear,n/a,ACEITOU,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,SIM,SETUP/MACRO,reclaim verde body26%; supply_dist 0.07ATR; NASsh 0
p08,E11,Loser COMPREENSÍVEL pela lógica da estratégia,POLARITY_DEFENDED,BEAR_LEG_RECLAIM_TRAP,no,understood_loser,n/a,ACEITOU,SUPPLY_NEAR_AND_REJECTING,DEMAND_PRESENT_NEUTRAL,SIM,understood_loser,reclaim verde body57%; supply_dist 0.64ATR; NASsh 8
p08,E12,Mesma config de E11 — por que detector NÃO entrou? quantificar,POLARITY_DEFENDED,NEEDS_SECOND_REVIEW,unclear,detector_recall_gap,n/a,ACEITOU,SUPPLY_NEAR_AND_REJECTING,DEMAND_PRESENT_NEUTRAL,SIM,detector_recall_gap,reclaim vermelho body58%; supply_dist 0.46ATR; NASsh 5
p01,E13,Entrada e SL corretos; vira BIG WINNER dos bons,DEMAND_SUPPORTED_RECLAIM,TRUE_L2_STRUCTURAL_SETUP,yes,setup_ok,SL_STRUCTURE_LOW,ACEITOU,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,SIM,setup_ok,reclaim verde body72%; supply_dist 8.89ATR; NASsh 8
p02,E14,SKY D- (contexto bear region),POLARITY_DEFENDED,NEEDS_SECOND_REVIEW,unclear,macro_review,n/a,ACEITOU,CLEAN_SKY,DEMAND_ABSENT_OR_IRRELEVANT,não,macro_review,reclaim verde body17%; supply_dist ATR; NASsh 5
p02,E15,"NÃO pode existir: topo duplo, entra após barra bear forte",DEMAND_SUPPORTED_RECLAIM,BEAR_LEG_RECLAIM_TRAP,no,macro_bear,n/a,ACEITOU,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,não,SETUP/MACRO,reclaim verde body8%; supply_dist ATR; NASsh 1
p03/p05,E16,SKY D- (cluster),TOP_SWEEP_REJECTION,NEEDS_SECOND_REVIEW,unclear,macro_review,n/a,NÃO_aceitou,CLEAN_SKY,DEMAND_ABSENT_OR_IRRELEVANT,não,macro_review,reclaim vermelho body45%; supply_dist 4.11ATR; NASsh 7
p03/p05,E17,BIG WINNER,DEMAND_SUPPORTED_RECLAIM,TRUE_L2_STRUCTURAL_SETUP,yes,setup_ok,SL_STRUCTURE_LOW,ACEITOU,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,SIM,setup_ok,reclaim verde body11%; supply_dist 5.15ATR; NASsh 7
p04/p05,E18,cluster,POLARITY_DEFENDED,NEEDS_SECOND_REVIEW,unclear,macro_review,n/a,ACEITOU,CLEAN_SKY,DEMAND_ABSENT_OR_IRRELEVANT,não,macro_review,reclaim vermelho body21%; supply_dist ATR; NASsh 11
p06,E19,"WINNER, SL a corrigir; SL estrutural aqui",DEMAND_SUPPORTED_RECLAIM,VALID_SETUP_BAD_SL,yes,SL_issue,SL_STRUCTURE_LOW,ACEITOU,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,não,SL,reclaim vermelho body6%; supply_dist ATR; NASsh 11
p06,E20,"SKY D+ (cluster winners, SL a corrigir)",TOP_SWEEP_REJECTION,VALID_SETUP_BAD_SL,yes,SL_issue,SL_STRUCTURE_LOW,NÃO_aceitou,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,não,SL,reclaim verde body75%; supply_dist ATR; NASsh 7
p06,E21,WINNER OK,TOP_SWEEP_REJECTION,POLARITY_DEFENDED,yes,setup_ok,SL_STRUCTURE_LOW,NÃO_aceitou,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,não,setup_ok,reclaim verde body57%; supply_dist ATR; NASsh 7
p06,E22,WINNER OK (SL a corrigir),POLARITY_DEFENDED,VALID_SETUP_BAD_SL,yes,SL_issue,SL_STRUCTURE_LOW,ACEITOU,CLEAN_SKY,DEMAND_ABSENT_OR_IRRELEVANT,não,SL,reclaim verde body39%; supply_dist ATR; NASsh 9
p06,E23,WINNER OK,DEMAND_SUPPORTED_RECLAIM,POLARITY_DEFENDED,yes,setup_ok,SL_STRUCTURE_LOW,ACEITOU,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,não,setup_ok,reclaim vermelho body12%; supply_dist ATR; NASsh 9
p06,E24,"Entrada de topo, exaustão clara, MACRO BEAR claro",TOP_SWEEP_REJECTION,MACRO_BEAR_NO_LONG,no,macro_bear,n/a,NÃO_aceitou,CLEAN_SKY,DEMAND_ABSENT_OR_IRRELEVANT,não,SETUP/MACRO,reclaim vermelho body55%; supply_dist ATR; NASsh 6
p01,E25,Entrada precipitada; eliminar (a real é E27),DEMAND_SUPPORTED_RECLAIM,LATE_EXTENDED_ENTRY,no,entry_premature,n/a,ACEITOU,SUPPLY_BLOCKS_TARGET,DEMAND_SUPPORTING_RETEST,SIM,entry_premature,reclaim vermelho body28%; supply_dist 1.54ATR; NASsh 7
p01,E26,Entrada precipitada; eliminar (a real é E27),BEAR_LEG_RECLAIM_TRAP,LATE_EXTENDED_ENTRY,no,entry_premature,n/a,NÃO_aceitou,SUPPLY_FAR_ENOUGH,DEMAND_SUPPORTING_RETEST,SIM,entry_premature,reclaim verde body78%; supply_dist 3.66ATR; NASsh 7
p01,E27,ENTRADA REAL CORRETA do cluster; BIG WINNER,DEMAND_SUPPORTED_RECLAIM,TRUE_L2_STRUCTURAL_SETUP,yes,setup_ok,SL_STRUCTURE_LOW,ACEITOU,SUPPLY_FAR_ENOUGH,DEMAND_SUPPORTING_RETEST,SIM,setup_ok,reclaim verde body24%; supply_dist 3.17ATR; NASsh 7
p04/p05,E28,cluster: viram winners com SL estrutural,DEMAND_SUPPORTED_RECLAIM,VALID_SETUP_BAD_SL,yes,SL_issue,SL_STRUCTURE_LOW,ACEITOU,SUPPLY_BLOCKS_TARGET,DEMAND_SUPPORTING_RETEST,não,SL,reclaim vermelho body46%; supply_dist 1.11ATR; NASsh 8
p04/p05,E29,cluster: viram winners com SL estrutural,DEMAND_SUPPORTED_RECLAIM,VALID_SETUP_BAD_SL,yes,SL_issue,SL_STRUCTURE_LOW,ACEITOU,SUPPLY_BLOCKS_TARGET,DEMAND_SUPPORTING_RETEST,SIM,SL,reclaim verde body56%; supply_dist 1.34ATR; NASsh 11
p01,E30,BIG WINNER,POLARITY_DEFENDED,TRUE_L2_STRUCTURAL_SETUP,yes,setup_ok,SL_STRUCTURE_LOW,ACEITOU,SUPPLY_BLOCKS_TARGET,DEMAND_TOO_DEEP,SIM,setup_ok,reclaim verde body77%; supply_dist 1.99ATR; NASsh 8
p04/p05,E31,D- cluster: SL estrutural aqui (vira winner),POLARITY_DEFENDED,VALID_SETUP_BAD_SL,unclear,SL_issue,SL_STRUCTURE_LOW,ACEITOU,SUPPLY_FAR_ENOUGH,DEMAND_ABSENT_OR_IRRELEVANT,SIM,SL,reclaim vermelho body62%; supply_dist 2.86ATR; NASsh 9
p04/p05,E32,D- cluster: SL estrutural aqui,TOP_SWEEP_REJECTION,VALID_SETUP_BAD_SL,unclear,SL_issue,SL_STRUCTURE_LOW,NÃO_aceitou,SUPPLY_BLOCKS_TARGET,DEMAND_TOO_DEEP,não,SL,reclaim vermelho body35%; supply_dist 1.54ATR; NASsh 9
p05/p06,E33,D- D- (cluster perto de E24 topo),ACCEPTED_SUPPLY_BREAK,NEEDS_SECOND_REVIEW,unclear,macro_review,n/a,ACEITOU,CLEAN_SKY,DEMAND_ABSENT_OR_IRRELEVANT,não,macro_review,reclaim verde body91%; supply_dist 4.01ATR; NASsh 6
p02,E34,NÃO: exaustão; entrar em queda clara de venda não pode,POLARITY_DEFENDED,EXHAUSTION_LONG_TRAP,no,macro_bear,n/a,ACEITOU,SUPPLY_FAR_ENOUGH,DEMAND_PRESENT_NEUTRAL,não,SETUP/MACRO,reclaim verde body42%; supply_dist 2.33ATR; NASsh 3
p01,E35,Entrada precipitada; eliminar (a real é E27),POLARITY_DEFENDED,LATE_EXTENDED_ENTRY,no,entry_premature,n/a,ACEITOU,SUPPLY_BLOCKS_TARGET,DEMAND_PRESENT_NEUTRAL,SIM,entry_premature,reclaim verde body63%; supply_dist 1.34ATR; NASsh 7
p07,E36,Regime bear (cluster out/2020-mar/2021): não funciona,BEAR_LEG_RECLAIM_TRAP,MACRO_BEAR_NO_LONG,no,macro_bear,n/a,NÃO_aceitou,SUPPLY_FAR_ENOUGH,DEMAND_SUPPORTING_RETEST,SIM,SETUP/MACRO,reclaim vermelho body24%; supply_dist 2.61ATR; NASsh 6
p07/p08,E37,Regime bear: não funciona,ACCEPTED_SUPPLY_BREAK,MACRO_BEAR_NO_LONG,no,macro_bear,n/a,ACEITOU,SUPPLY_FAR_ENOUGH,DEMAND_SUPPORTING_RETEST,SIM,SETUP/MACRO,reclaim verde body51%; supply_dist 2.18ATR; NASsh 8
p08/p09/p10,E38,LOSER por SL curto demais; vira winner com SL estrutural,BEAR_LEG_RECLAIM_TRAP,VALID_SETUP_BAD_SL,yes,SL_issue,SL_STRUCTURE_LOW,NÃO_aceitou,SUPPLY_BLOCKS_TARGET,DEMAND_TOO_DEEP,SIM,SL,reclaim vermelho body73%; supply_dist 1.78ATR; NASsh 9
p10,E39,Compra sem sentido após perna bear clara; cego para virada bear,DEMAND_SUPPORTED_RECLAIM,MACRO_BEAR_NO_LONG,no,macro_bear,n/a,ACEITOU,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,SIM,SETUP/MACRO,reclaim verde body15%; supply_dist 0.37ATR; NASsh 2
p09/p10,E40,"BIG WINNER, entrada perfeita, SL curto e eficiente",DEMAND_SUPPORTED_RECLAIM,TRUE_L2_STRUCTURAL_SETUP,yes,setup_ok,SL_RETEST_LOW,ACEITOU,SUPPLY_BLOCKS_TARGET,DEMAND_SUPPORTING_RETEST,SIM,setup_ok,reclaim verde body60%; supply_dist 1.31ATR; NASsh 8
p11,E41,Ponto de entrada correto é mais abaixo; loser que precisa virar BIG WINNER,BEAR_LEG_RECLAIM_TRAP,VALID_SETUP_LATE_ENTRY,yes,SL_and_entry,SL_STRUCTURE_LOW,NÃO_aceitou,SUPPLY_BLOCKS_TARGET,DEMAND_SUPPORTING_RETEST,SIM,SL_and_entry,reclaim verde body23%; supply_dist 1.89ATR; NASsh 0
